NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
116,32,79.6%,92.5%,1097,95.8%,63.6%,909,2364,1,1454,1627
117,29,86.3%,97.3%,1609,88.9%,66.8%,48,968,1,1654,1654
118,39,100%,95.8%,443,100%,93.9%,5,307,1,297,321
119,40,87%,44.7%,581,75.3%,79.8%,97,125,2,244,160
120,26,58.9%,90.6%,293,100%,35.7%,30,595,1,595,595
121,38,79.6%,99.1%,641,90.5%,34.6%,29,1183,1,1182,1182
122,--,--,--,0,--,--,59,0,1,0,0
123,44,60.9%,97.7%,808,96.5%,58%,162,1074,1,1085,1085
124,39,56.7%,100%,552,72.7%,38.5%,83,1036,1,1036,1036
125,38,84.2%,99.2%,1123,87.9%,62.6%,105,1465,1,1455,1452
126,33,80%,94.5%,125,100%,57.6%,25,666,1,510,666
127,33,58.6%,97.3%,327,87.3%,24.9%,111,1103,1,1115,1115
128,27,49.1%,91.2%,537,83.3%,29.7%,14,1021,1,1021,1021
129,47,97.2%,99.5%,713,87.6%,85.8%,0,681,1,22,22
130,43,85.5%,96.8%,1000,96.3%,89.3%,887,0,1,80,16
131,46,97%,100%,772,97.7%,81.7%,20,178,1,520,303
132,34,75.7%,100%,252,100%,55.4%,1,260,1,42,112
133,34,91.1%,95.8%,236,90.3%,45.3%,2,620,1,600,600
134,37,70.8%,65.2%,214,91.8%,45.8%,6,478,1,478,478
135,29,64.2%,92.6%,0,84.4%,8.8%,7,654,1,610,610
136,35,96.4%,97.8%,893,97.9%,74.7%,88,295,1,47,68
137,38,75.1%,85.6%,546,92.4%,57.9%,87,547,1,0,0
138,41,57.1%,100%,299,100%,85.9%,37,299,1,298,298
139,28,84%,100%,506,95.4%,39.4%,122,561,1,550,550
140,38,67.5%,95.3%,1047,92.8%,58.9%,131,821,1,1220,1227
141,38,48.6%,100%,259,100%,57.3%,93,324,1,319,319
142,35,79.6%,91.6%,263,89.7%,32%,7,1331,1,1287,1290
143,40,98.3%,94.7%,361,98.4%,90.2%,4,675,1,166,0
144,33,77.6%,94.4%,225,93.4%,31.3%,44,1013,1,979,1013
145,30,80.9%,90.8%,367,86.1%,56.6%,76,385,1,243,251
146,34,94.5%,93.2%,632,95.8%,59.3%,51,588,1,178,287
147,34,86.4%,93%,547,86.3%,68.2%,33,1118,1,756,757
148,38,93.6%,96.2%,676,96.7%,75.5%,20,515,1,738,47
149,40,94.9%,99.3%,87,94.3%,71.1%,14,166,1,256,3
150,34,69.6%,98.8%,673,92.7%,50.1%,28,58,1,819,819
151,41,89.3%,93.1%,925,100%,73.3%,1,0,1,1080,1080
152,32,39.7%,88.1%,335,88.6%,72.4%,150,160,2,10,0
153,40,89.5%,97%,1223,91.8%,87.8%,45,945,1,0,665
154,35,87.7%,95.7%,799,92.6%,51.8%,69,1058,1,767,871
155,36,84.5%,97%,940,99.4%,54.4%,428,0,1,1049,1049
156,34,86.8%,95.5%,1467,93%,86.3%,413,1051,1,1013,718
157,33,81.3%,83.3%,185,98%,26.4%,63,709,1,709,709
158,38,77.3%,94.6%,1338,97.6%,61.5%,68,885,1,1046,1046
159,30,68.3%,86.7%,318,93.9%,38.7%,71,523,1,493,523
